-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Model Filename                                                      Arch    Output Stems (SDR)                                            Friendly Name
UVR_MDXNET_KARA_2.onnx                                              MDX     instrumental* (14.8), vocals (5.4)                            MDX-Net Model: UVR-MDX-NET Karaoke 2
UVR_MDXNET_9482.onnx                                                MDX     vocals* (9.3), instrumental (14.9)                            MDX-Net Model: UVR_MDXNET_9482
UVR-MDX-NET-Voc_FT.onnx                                             MDX     vocals* (10.2), instrumental (15.4)                           MDX-Net Model: UVR-MDX-NET Voc FT
Kim_Vocal_1.onnx                                                    MDX     vocals* (10.1), instrumental (15.5)                           MDX-Net Model: Kim Vocal 1
Kim_Vocal_2.onnx                                                    MDX     vocals* (10.2), instrumental (15.4)                           MDX-Net Model: Kim Vocal 2
Kim_Inst.onnx                                                       MDX     instrumental* (15.5), vocals (9.1)                            MDX-Net Model: Kim Inst
Reverb_HQ_By_FoxJoy.onnx                                            MDX     reverb*, no reverb                                            MDX-Net Model: Reverb HQ By FoxJoy
UVR-MDX-NET_Crowd_HQ_1.onnx                                         MDX     no crowd*, crowd                                              MDX-Net Model: UVR-MDX-NET Crowd HQ 1 By Aufr33
kuielab_a_vocals.onnx                                               MDX     vocals* (9.6), instrumental (15.3)                            MDX-Net Model: kuielab_a_vocals
kuielab_a_other.onnx                                                MDX     other*, no other                                              MDX-Net Model: kuielab_a_other
kuielab_a_bass.onnx                                                 MDX     bass* (10.4), no bass                                         MDX-Net Model: kuielab_a_bass
kuielab_a_drums.onnx                                                MDX     drums* (7.0), no drums                                        MDX-Net Model: kuielab_a_drums
kuielab_b_vocals.onnx                                               MDX     vocals* (9.0), instrumental (15.1)                            MDX-Net Model: kuielab_b_vocals
kuielab_b_other.onnx                                                MDX     other*, no other                                              MDX-Net Model: kuielab_b_other
kuielab_b_bass.onnx                                                 MDX     bass* (9.9), no bass                                          MDX-Net Model: kuielab_b_bass
kuielab_b_drums.onnx                                                MDX     drums* (7.1), no drums                                        MDX-Net Model: kuielab_b_drums
UVR-MDX-NET_Main_340.onnx                                           MDX     vocals* (10.2), instrumental (15.4)                           MDX-Net Model VIP: UVR-MDX-NET_Main_340
UVR-MDX-NET_Main_390.onnx                                           MDX     vocals* (4.5), instrumental (8.8)                             MDX-Net Model VIP: UVR-MDX-NET_Main_390
UVR-MDX-NET_Main_406.onnx                                           MDX     vocals* (10.4), instrumental (15.3)                           MDX-Net Model VIP: UVR-MDX-NET_Main_406
UVR-MDX-NET_Main_427.onnx                                           MDX     vocals* (10.2), instrumental (15.5)                           MDX-Net Model VIP: UVR-MDX-NET_Main_427
UVR-MDX-NET_Main_438.onnx                                           MDX     vocals* (10.1), instrumental (15.3)                           MDX-Net Model VIP: UVR-MDX-NET_Main_438
UVR-MDX-NET_Inst_82_beta.onnx                                       MDX     instrumental* (14.3), vocals (8.2)                            MDX-Net Model VIP: UVR-MDX-NET_Inst_82_beta
UVR-MDX-NET_Inst_90_beta.onnx                                       MDX     instrumental* (13.9), vocals (8.1)                            MDX-Net Model VIP: UVR-MDX-NET_Inst_90_beta
